type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
type: <class 'kaggle_environments.utils.Struct'>, keys: ['remainingOverageTime', 'player', 'private', 'farms', 'market']
